




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4495804 Released 2021-02-01
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13811)	upload_1 (959)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of voltage-gated calcium channel activity (GO:1901385)	7	5	.49	+	10.29	6.16E-04	3.30E-02
synaptic transmission, glutamatergic (GO:0035249)	12	8	.83	+	9.60	1.91E-05	2.17E-03
heat shock-mediated polytene chromosome puffing (GO:0035080)	9	6	.62	+	9.60	2.22E-04	1.52E-02
polytene chromosome puffing (GO:0035079)	10	6	.69	+	8.64	3.36E-04	2.17E-02
positive regulation of voltage-gated potassium channel activity (GO:1903818)	16	9	1.11	+	8.10	1.56E-05	1.88E-03
positive regulation of cation channel activity (GO:2001259)	22	12	1.53	+	7.86	7.57E-07	1.32E-04
protein refolding (GO:0042026)	24	13	1.67	+	7.80	2.77E-07	5.86E-05
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	17	9	1.18	+	7.62	2.25E-05	2.48E-03
positive regulation of potassium ion transport (GO:0043268)	18	9	1.25	+	7.20	3.19E-05	3.37E-03
regulation of potassium ion transmembrane transporter activity (GO:1901016)	18	9	1.25	+	7.20	3.19E-05	3.32E-03
positive regulation of ion transmembrane transporter activity (GO:0032414)	26	13	1.81	+	7.20	5.59E-07	1.09E-04
positive regulation of transporter activity (GO:0032411)	26	13	1.81	+	7.20	5.59E-07	1.07E-04
positive regulation of potassium ion transmembrane transport (GO:1901381)	18	9	1.25	+	7.20	3.19E-05	3.28E-03
regulation of potassium ion transmembrane transport (GO:1901379)	19	9	1.32	+	6.82	4.43E-05	4.22E-03
regulation of synaptic transmission, cholinergic (GO:0032222)	17	8	1.18	+	6.78	1.23E-04	9.50E-03
