




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4495804 Released 2021-02-01
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13811)	upload_1 (897)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of voltage-gated potassium channel activity (GO:1903818)	16	9	1.04	+	8.66	9.42E-06	1.68E-03
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	17	9	1.10	+	8.15	1.36E-05	2.13E-03
regulation of synaptic transmission, cholinergic (GO:0032222)	17	9	1.10	+	8.15	1.36E-05	2.09E-03
positive regulation of cation channel activity (GO:2001259)	22	11	1.43	+	7.70	2.28E-06	5.76E-04
positive regulation of potassium ion transport (GO:0043268)	18	9	1.17	+	7.70	1.93E-05	2.86E-03
regulation of potassium ion transmembrane transporter activity (GO:1901016)	18	9	1.17	+	7.70	1.93E-05	2.80E-03
synaptic transmission, glutamatergic (GO:0035249)	12	6	.78	+	7.70	4.98E-04	3.61E-02
positive regulation of potassium ion transmembrane transport (GO:1901381)	18	9	1.17	+	7.70	1.93E-05	2.75E-03
regulation of potassium ion transmembrane transport (GO:1901379)	19	9	1.23	+	7.29	2.70E-05	3.64E-03
positive regulation of ion transmembrane transporter activity (GO:0032414)	26	12	1.69	+	7.11	1.52E-06	4.10E-04
positive regulation of transporter activity (GO:0032411)	26	12	1.69	+	7.11	1.52E-06	3.97E-04
muscle contraction (GO:0006936)	20	9	1.30	+	6.93	3.70E-05	4.60E-03
positive regulation of ion transmembrane transport (GO:0034767)	29	12	1.88	+	6.37	3.74E-06	8.87E-04
positive regulation of transmembrane transport (GO:0034764)	29	12	1.88	+	6.37	3.74E-06	8.61E-04
regulation of potassium ion transport (GO:0043266)	22	9	1.43	+	6.30	6.67E-05	7.35E-03
muscle system process (GO:0003012)	27	11	1.75	+	6.27	1.07E-05	1.82E-03
positive regulation of cation transmembrane transport (GO:1904064)	27	11	1.75	+	6.27	1.07E-05	1.78E-03
regulation of cation channel activity (GO:2001257)	30	12	1.95	+	6.16	4.95E-06	1.02E-03
regulation of transmembrane transporter activity (GO:0022898)	37	13	2.40	+	5.41	6.36E-06	1.28E-03
regulation of ion transmembrane transporter activity (GO:0032412)	37	13	2.40	+	5.41	6.36E-06	1.24E-03
regulation of transporter activity (GO:0032409)	37	13	2.40	+	5.41	6.36E-06	1.21E-03
negative regulation of endopeptidase activity (GO:0010951)	39	13	2.53	+	5.13	1.02E-05	1.77E-03
negative regulation of peptidase activity (GO:0010466)	40	13	2.60	+	5.00	1.27E-05	2.07E-03
glial cell migration (GO:0008347)	34	11	2.21	+	4.98	6.10E-05	6.81E-03
regulation of cation transmembrane transport (GO:1904062)	40	12	2.60	+	4.62	5.25E-05	6.13E-03
regulation of ion transmembrane transport (GO:0034765)	45	13	2.92	+	4.45	3.59E-05	4.68E-03
regulation of transmembrane transport (GO:0034762)	45	13	2.92	+	4.45	3.59E-05	4.60E-03
myofibril assembly (GO:0030239)	45	13	2.92	+	4.45	3.59E-05	4.53E-03
striated muscle cell development (GO:0055002)	54	14	3.51	+	3.99	4.98E-05	5.91E-03
synaptic target recognition (GO:0008039)	49	12	3.18	+	3.77	2.67E-04	2.27E-02
negative regulation of hydrolase activity (GO:0051346)	62	15	4.03	+	3.73	5.35E-05	6.16E-03
muscle cell development (GO:0055001)	58	14	3.77	+	3.72	9.63E-05	9.78E-03
negative regulation of proteolysis (GO:0045861)	55	13	3.57	+	3.64	2.03E-04	1.82E-02
mesoderm development (GO:0007498)	98	23	6.36	+	3.61	9.41E-07	2.83E-04
gliogenesis (GO:0042063)	79	18	5.13	+	3.51	1.98E-05	2.77E-03
