




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4495804 Released 2021-02-01
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13811)	upload_1 (531)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of voltage-gated potassium channel activity (GO:1903818)	16	6	.62	+	9.75	1.13E-04	3.14E-02
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	17	6	.65	+	9.18	1.48E-04	3.85E-02
regulation of synaptic transmission, cholinergic (GO:0032222)	17	6	.65	+	9.18	1.48E-04	3.72E-02
positive regulation of potassium ion transport (GO:0043268)	18	6	.69	+	8.67	1.91E-04	4.03E-02
regulation of potassium ion transmembrane transporter activity (GO:1901016)	18	6	.69	+	8.67	1.91E-04	3.92E-02
positive regulation of potassium ion transmembrane transport (GO:1901381)	18	6	.69	+	8.67	1.91E-04	3.82E-02
positive regulation of cation channel activity (GO:2001259)	22	7	.85	+	8.28	7.03E-05	2.75E-02
regulation of potassium ion transmembrane transport (GO:1901379)	19	6	.73	+	8.21	2.43E-04	3.80E-02
positive regulation of ion transmembrane transporter activity (GO:0032414)	26	7	1.00	+	7.00	1.69E-04	4.14E-02
positive regulation of transporter activity (GO:0032411)	26	7	1.00	+	7.00	1.69E-04	4.01E-02
regulation of cation channel activity (GO:2001257)	30	8	1.15	+	6.94	6.14E-05	2.67E-02
muscle system process (GO:0003012)	27	7	1.04	+	6.74	2.06E-04	4.04E-02
positive regulation of cation transmembrane transport (GO:1904064)	27	7	1.04	+	6.74	2.06E-04	3.94E-02
positive regulation of ion transmembrane transport (GO:0034767)	29	7	1.11	+	6.28	3.00E-04	4.52E-02
positive regulation of transmembrane transport (GO:0034764)	29	7	1.11	+	6.28	3.00E-04	4.43E-02
negative regulation of endopeptidase activity (GO:0010951)	39	9	1.50	+	6.00	5.64E-05	2.59E-02
negative regulation of peptidase activity (GO:0010466)	40	9	1.54	+	5.85	6.68E-05	2.75E-02
regulation of transmembrane transporter activity (GO:0022898)	37	8	1.42	+	5.62	2.15E-04	4.01E-02
regulation of ion transmembrane transporter activity (GO:0032412)	37	8	1.42	+	5.62	2.15E-04	3.92E-02
regulation of transporter activity (GO:0032409)	37	8	1.42	+	5.62	2.15E-04	3.83E-02
regulation of cation transmembrane transport (GO:1904062)	40	8	1.54	+	5.20	3.42E-04	4.78E-02
chaperone-mediated protein folding (GO:0061077)	48	9	1.85	+	4.88	2.25E-04	3.91E-02
modulation of chemical synaptic transmission (GO:0050804)	142	17	5.46	+	3.11	8.46E-05	2.88E-02
regulation of trans-synaptic signaling (GO:0099177)	142	17	5.46	+	3.11	8.46E-05	2.76E-02
organic substance metabolic process (GO:0071704)	4282	113	164.63	-	.69	1.16E-06	1.81E-03
metabolic process (GO:0008152)	4546	119	174.78	-	.68	1.89E-07	7.41E-04
nitrogen compound metabolic process (GO:0006807)	3683	94	141.60	-	.66	2.17E-06	1.89E-03
