




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4495804 Released 2021-02-01
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13811)	upload_1 (49)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cell aging (GO:0007569)	3	2	.01	+	 > 100	1.22E-04	9.24E-03
regulation of cytokinesis, actomyosin contractile ring assembly (GO:2000431)	4	2	.01	+	 > 100	1.82E-04	1.28E-02
regulation of spindle assembly (GO:0090169)	6	2	.02	+	93.95	3.38E-04	2.08E-02
regulation of cytokinetic process (GO:0032954)	7	2	.02	+	80.53	4.34E-04	2.55E-02
regulation of spindle organization (GO:0090224)	7	2	.02	+	80.53	4.34E-04	2.53E-02
spindle midzone assembly (GO:0051255)	7	2	.02	+	80.53	4.34E-04	2.51E-02
cellular protein-containing complex localization (GO:0034629)	9	2	.03	+	62.63	6.60E-04	3.56E-02
actomyosin contractile ring assembly (GO:0000915)	14	3	.05	+	60.40	2.73E-05	2.88E-03
DNA replication-independent nucleosome assembly (GO:0006336)	10	2	.04	+	56.37	7.90E-04	4.07E-02
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912)	15	3	.05	+	56.37	3.26E-05	3.36E-03
DNA replication-independent nucleosome organization (GO:0034724)	11	2	.04	+	51.25	9.32E-04	4.44E-02
actomyosin contractile ring organization (GO:0044837)	23	4	.08	+	49.02	2.28E-06	4.24E-04
chromosome localization (GO:0050000)	26	4	.09	+	43.36	3.53E-06	5.88E-04
metaphase plate congression (GO:0051310)	20	3	.07	+	42.28	7.00E-05	6.01E-03
establishment of chromosome localization (GO:0051303)	23	3	.08	+	36.76	1.02E-04	8.22E-03
regulation of cytokinesis (GO:0032465)	24	3	.09	+	35.23	1.14E-04	8.86E-03
cytokinetic process (GO:0032506)	38	4	.13	+	29.67	1.40E-05	1.76E-03
meiotic cytokinesis (GO:0033206)	44	4	.16	+	25.62	2.39E-05	2.67E-03
regulation of microtubule cytoskeleton organization (GO:0070507)	45	4	.16	+	25.05	2.60E-05	2.82E-03
regulation of cell division (GO:0051302)	45	4	.16	+	25.05	2.60E-05	2.78E-03
male meiosis cytokinesis (GO:0007112)	34	3	.12	+	24.87	2.96E-04	1.93E-02
nucleosome assembly (GO:0006334)	35	3	.12	+	24.16	3.21E-04	1.99E-02
positive regulation of protein polymerization (GO:0032273)	37	3	.13	+	22.85	3.74E-04	2.25E-02
