




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4495804 Released 2021-02-01
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13811)	upload_1 (52)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
homoserine metabolic process (GO:0009092)	2	2	.01	+	 > 100	8.24E-05	2.80E-02
transsulfuration (GO:0019346)	2	2	.01	+	 > 100	8.24E-05	2.69E-02
cysteine biosynthetic process (GO:0019344)	2	2	.01	+	 > 100	8.24E-05	2.58E-02
cysteine biosynthetic process via cystathionine (GO:0019343)	2	2	.01	+	 > 100	8.24E-05	2.48E-02
cysteine metabolic process (GO:0006534)	3	2	.01	+	 > 100	1.37E-04	3.25E-02
glutathione biosynthetic process (GO:0006750)	4	2	.02	+	 > 100	2.05E-04	4.11E-02
regulation of meiotic cell cycle phase transition (GO:1901993)	4	2	.02	+	 > 100	2.05E-04	4.01E-02
pronuclear migration (GO:0035046)	4	2	.02	+	 > 100	2.05E-04	3.91E-02
sperm aster formation (GO:0035044)	4	2	.02	+	 > 100	2.05E-04	3.82E-02
homocysteine metabolic process (GO:0050667)	4	2	.02	+	 > 100	2.05E-04	3.73E-02
nonribosomal peptide biosynthetic process (GO:0019184)	5	2	.02	+	 > 100	2.86E-04	4.87E-02
karyogamy (GO:0000741)	5	2	.02	+	 > 100	2.86E-04	4.77E-02
pronuclear fusion (GO:0007344)	5	2	.02	+	 > 100	2.86E-04	4.67E-02
regulation of meiotic cell cycle (GO:0051445)	19	3	.07	+	41.94	7.29E-05	2.59E-02
single fertilization (GO:0007338)	33	5	.12	+	40.24	2.79E-07	4.36E-04
fertilization (GO:0009566)	35	5	.13	+	37.94	3.63E-07	4.74E-04
pole cell development (GO:0007277)	30	3	.11	+	26.56	2.51E-04	4.36E-02
