# submitted_item	validated_id	current_symbol
l(2)gl	FBgn0002121	l(2)gl
CR43609	unknown ID	-
Cda5	FBgn0051973	Cda5
CR46254	unknown ID	-
dbr	FBgn0067779	dbr
CR44987	unknown ID	-
galectin	FBgn0031213	galectin
CG11374	FBgn0031214	CG11374
net	FBgn0002931	net
Zir	FBgn0031216	Zir
CG11377	FBgn0031217	CG11377
Nhe1	FBgn0026787	Nhe1
Sam-S	FBgn0005278	Sam-S
ND-15	FBgn0031228	ND-15
CG13694	FBgn0031219	CG13694
CG4822	FBgn0031220	CG4822
CG3164	FBgn0288229	CG3164
CR44969	unknown ID	-
Gs1	FBgn0001142	Gs1
CR44186	unknown ID	-
CG31974	FBgn0051974	CG31974
CG11454	FBgn0031224	CG11454
CG42399	FBgn0259818	CG42399
CG3709	FBgn0031227	CG3709
CG3436	FBgn0031229	CG3436
CG33635	FBgn0053635	CG33635
spen	FBgn0016977	spen
mRpL10	FBgn0031231	mRpL10
CG11617	FBgn0031232	CG11617
Tbc1d15-17	FBgn0031233	Tbc1d15-17
kis	FBgn0266557	kis
CR44222	unknown ID	-
CR44221	unknown ID	-
CR44218	unknown ID	-
Rpp30	FBgn0283652	Rpp30
CG3645	FBgn0031238	CG3645
CG17075	FBgn0031239	CG17075
CG3345	FBgn0031240	CG3345
mbm	FBgn0086912	mbm
CG11555	FBgn0086856	CG11555
CG17078	FBgn0086855	CG17078
smo	FBgn0003444	smo
CG11601	FBgn0031244	CG11601
CG3625	FBgn0031245	CG3625
CR46262	unknown ID	-
CR46263	unknown ID	-
Amnionless	FBgn0025686	Amnionless
CG11562	FBgn0031247	CG11562
U2af38	FBgn0017457	U2af38
Hop	unknown ID	-
Pi3K21B	FBgn0020622	Pi3K21B
Plc21C	FBgn0004611	Plc21C
CG31921	FBgn0051921	CG31921
Ent1	FBgn0031250	Ent1
CR45367	unknown ID	-
CR45366	unknown ID	-
CG4213	FBgn0031251	CG4213
RpI135	unknown ID	-
AP-2alpha	FBgn0264855	AP-2alpha
ebi	FBgn0263933	ebi
CG13690	FBgn0031252	CG13690
RpLP1	FBgn0002593	RpLP1
CG11885	FBgn0031253	CG11885
CG13692	FBgn0031254	CG13692
BBS8	FBgn0031255	BBS8
ex	FBgn0004583	ex
CR43717	unknown ID	-
crq	FBgn0015924	crq
shv	FBgn0031256	shv
CG4133	FBgn0031257	CG4133
CG4297	FBgn0031258	CG4297
MED15	FBgn0027592	MED15
ush	FBgn0003963	ush
cbt	FBgn0043364	cbt
CR46258	unknown ID	-
lwr	FBgn0010602	lwr
Spp	FBgn0031260	Spp
Ets21C	FBgn0005660	Ets21C
nAChRbeta3	FBgn0031261	nAChRbeta3
rempA	FBgn0260933	rempA
Tspo	FBgn0031263	Tspo
CG11835	FBgn0031264	CG11835
CG2794	FBgn0031265	CG2794
Nle	FBgn0021874	Nle
Sf3b1	FBgn0031266	Sf3b1
Ipk2	FBgn0031267	Ipk2
cold	FBgn0031268	cold
