"FBGN","Symbol","Genotype","Mean_expression","Norm_expression"
"FBgn0000063","Mps1","UAS-tkv",23.2719751848127,4.60121961060283
"FBgn0000063","Mps1","bam RNAi",22.498542165831,4.55449935059825
"FBgn0000063","Mps1","bam RNAi; HS-bam",19.8392636121015,4.38123239352396
"FBgn0000063","Mps1","Young WT",25.2103454476692,4.71206446314182
"FBgn0000140","asp","UAS-tkv",21.5150040566785,4.49281483250714
"FBgn0000140","asp","bam RNAi",19.866579258465,4.38312220801852
"FBgn0000140","asp","bam RNAi; HS-bam",22.2528072175561,4.53933299237123
"FBgn0000140","asp","Young WT",30.8275945896645,4.992206222496
"FBgn0000146","aub","UAS-tkv",115.764802992361,6.86746165062943
"FBgn0000146","aub","bam RNAi",152.454623233737,7.26166830130678
"FBgn0000146","aub","bam RNAi; HS-bam",66.4437761986172,6.07561341038593
"FBgn0000146","aub","Young WT",126.661531524874,6.99618005045238
"FBgn0000152","Axs","UAS-tkv",24.4209283475805,4.6679448120121
"FBgn0000152","Axs","bam RNAi",32.3400909540111,5.05918613498619
"FBgn0000152","Axs","bam RNAi; HS-bam",19.6751563939461,4.36982633736333
"FBgn0000152","Axs","Young WT",16.3041242815675,4.11304402705193
"FBgn0000158","bam","UAS-tkv",7.73516324851204,3.12683466543373
"FBgn0000158","bam","bam RNAi",2.88779731043183,1.95895300627463
"FBgn0000158","bam","bam RNAi; HS-bam",161.23358951189,7.34192874179146
"FBgn0000158","bam","Young WT",25.7929639840941,4.74378228370562
"FBgn0000246","c(3)G","UAS-tkv",89.9896177330735,6.50763003251161
"FBgn0000246","c(3)G","bam RNAi",149.086173245251,7.22964726393966
"FBgn0000246","c(3)G","bam RNAi; HS-bam",87.9235344842471,6.47449338784914
"FBgn0000246","c(3)G","Young WT",27.7385668800003,4.84491621490573
"FBgn0000308","chic","UAS-tkv",546.622933049072,9.09703905401735
"FBgn0000308","chic","bam RNAi",826.883124506613,9.69328330098215
"FBgn0000308","chic","bam RNAi; HS-bam",1019.69575018341,9.99533717525112
"FBgn0000308","chic","Young WT",571.659841724316,9.16153462652472
"FBgn0000351","cort","UAS-tkv",19.8100019434161,4.37920519469183
"FBgn0000351","cort","bam RNAi",10.132184805575,3.47666485907138
"FBgn0000351","cort","bam RNAi; HS-bam",9.7512268168241,3.426429389266
"FBgn0000351","cort","Young WT",43.4557359030905,5.47429766973699
"FBgn0000392","cup","UAS-tkv",0,0
"FBgn0000392","cup","bam RNAi",0,0
"FBgn0000392","cup","bam RNAi; HS-bam",0,0
"FBgn0000392","cup","Young WT",0,0
"FBgn0001086","fzy","UAS-tkv",115.017913377447,6.85820376707206
"FBgn0001086","fzy","bam RNAi",116.290700038031,6.87394481660307
"FBgn0001086","fzy","bam RNAi; HS-bam",61.0500674352373,5.95536087314677
"FBgn0001086","fzy","Young WT",67.5457392430145,6.0989950867268
"FBgn0001133","grau","UAS-tkv",29.7933205130124,4.9445455397096
