"FBGN","Symbol","Genotype","Mean_expression","Norm_expression"
"FBgn0002707","mei-9","UAS-tkv",0.734917015762704,0
"FBgn0002707","mei-9","bam RNAi",0.88891111489561,0.274457811402354
"FBgn0002707","mei-9","bam RNAi; HS-bam",1.0357415735794,0.495010822894615
"FBgn0002707","mei-9","Young WT",0.60627856516729,-0.277600537905498
"FBgn0002709","mei-218","UAS-tkv",0.639799416361789,0
"FBgn0002709","mei-218","bam RNAi",0.517587508940381,-0.305816875542152
"FBgn0002709","mei-218","bam RNAi; HS-bam",0.57823001645661,-0.145976174001126
"FBgn0002709","mei-218","Young WT",0.671013360891646,0.0687218165553055
"FBgn0002716","mei-W68","UAS-tkv",0.956303884931579,0
"FBgn0002716","mei-W68","bam RNAi",0.765397137430846,-0.321260631268534
"FBgn0002716","mei-W68","bam RNAi; HS-bam",1.22804644727544,0.360824085723877
"FBgn0002716","mei-W68","Young WT",1.04644371737197,0.129953677057666
"FBgn0002872","mu2","UAS-tkv",0.366153033059764,0
"FBgn0002872","mu2","bam RNAi",0.955550286641204,1.38388505166937
"FBgn0002872","mu2","bam RNAi; HS-bam",0.971528180698252,1.4078090974727
"FBgn0002872","mu2","Young WT",0.379081403865114,0.0500609391336175
"FBgn0002887","mus201","UAS-tkv",0.319603540208319,0
"FBgn0002887","mus201","bam RNAi",0.707619539951627,1.14669049773434
"FBgn0002887","mus201","bam RNAi; HS-bam",0.896182678826735,1.48750945383905
"FBgn0002887","mus201","Young WT",0.511741957088043,0.679133134067027
"FBgn0002891","DNApol-zeta","UAS-tkv",0.815506635880009,0
"FBgn0002891","DNApol-zeta","bam RNAi",0.930928871480606,0.190974325111401
"FBgn0002891","DNApol-zeta","bam RNAi; HS-bam",0.848485655226497,0.0571936529283166
"FBgn0002891","DNApol-zeta","Young WT",0.501339217509244,-0.701909522305261
"FBgn0002899","mus301","UAS-tkv",0.917464988422124,0
"FBgn0002899","mus301","bam RNAi",1.11728873724414,0.284277055801862
"FBgn0002899","mus301","bam RNAi; HS-bam",1.64754360622563,0.844591641027072
"FBgn0002899","mus301","Young WT",0.383697366514417,-1.2576842408946
"FBgn0002905","DNApol-theta","UAS-tkv",0.518950609349426,0
"FBgn0002905","DNApol-theta","bam RNAi",0.784738921933346,0.596615519662605
"FBgn0002905","DNApol-theta","bam RNAi; HS-bam",0.798025258390599,0.620837172146325
"FBgn0002905","DNApol-theta","Young WT",0.382894989868918,-0.438648455098249
"FBgn0002906","Blm","UAS-tkv",0.336645011706784,0
"FBgn0002906","Blm","bam RNAi",1.03108365201854,1.61486139085825
"FBgn0002906","Blm","bam RNAi; HS-bam",1.06192044731351,1.65737569943649
"FBgn0002906","Blm","Young WT",0.606992127326339,0.850449717266967
"FBgn0002909","mus312","UAS-tkv",1,0
"FBgn0002909","mus312","bam RNAi",1,0
"FBgn0002909","mus312","bam RNAi; HS-bam",1,0
"FBgn0002909","mus312","Young WT",1,0
"FBgn0002989","okr","UAS-tkv",1.02988596663685,0
"FBgn0002989","okr","bam RNAi",1.44608836157405,0.489671104303099
"FBgn0002989","okr","bam RNAi; HS-bam",1.54442779035386,0.584587814497601
"FBgn0002989","okr","Young WT",0.43733924717621,-1.23565987695228
"FBgn0003479","spn-A","UAS-tkv",1.18397174657189,0
"FBgn0003479","spn-A","bam RNAi",1.01080872399553,-0.228124633038201
"FBgn0003479","spn-A","bam RNAi; HS-bam",1.05479544911899,-0.166671402100508
"FBgn0003479","spn-A","Young WT",1.18903185579476,0.00615271341312339
"FBgn0003480","spn-B","UAS-tkv",0.588094980619493,0
"FBgn0003480","spn-B","bam RNAi",1.05087903365302,0.837475528408296
"FBgn0003480","spn-B","bam RNAi; HS-bam",2.85652483710557,2.28013999173116
"FBgn0003480","spn-B","Young WT",0.594003131886982,0.0144213604938554
"FBgn0003482","spn-D","UAS-tkv",0.567647126894472,0
"FBgn0003482","spn-D","bam RNAi",0.902446449763557,0.668846957489647
"FBgn0003482","spn-D","bam RNAi; HS-bam",1.63142792784368,1.52306898026423
"FBgn0003482","spn-D","Young WT",0.484065206060512,-0.229792970027045
"FBgn0003612","Su(var)2-10","UAS-tkv",0.747606878935129,0
"FBgn0003612","Su(var)2-10","bam RNAi",1.07806546032866,0.528093032564497
"FBgn0003612","Su(var)2-10","bam RNAi; HS-bam",1.49406416959678,0.998890363878356
"FBgn0003612","Su(var)2-10","Young WT",0.75293499132336,0.0102454636927574
"FBgn0004367","mei-41","UAS-tkv",0.746026998757368,0
"FBgn0004367","mei-41","bam RNAi",0.856441542562097,0.199126934164155
"FBgn0004367","mei-41","bam RNAi; HS-bam",0.902412827653262,0.274559732923796
"FBgn0004367","mei-41","Young WT",0.470866886112897,-0.663908574491758
"FBgn0010173","RpA-70","UAS-tkv",0.706678028005614,0
"FBgn0010173","RpA-70","bam RNAi",0.804557697273292,0.18714283119171
"FBgn0010173","RpA-70","bam RNAi; HS-bam",1.1854463229907,0.746305380449951
"FBgn0010173","RpA-70","Young WT",0.390432130529746,-0.855981269434928
"FBgn0010247","Parp","UAS-tkv",0.351346273654467,0
"FBgn0010247","Parp","bam RNAi",0.426160914255108,0.278504683514668
"FBgn0010247","Parp","bam RNAi; HS-bam",0.824075263782708,1.2298825089402
"FBgn0010247","Parp","Young WT",0.339683570412671,-0.0487021569574649
"FBgn0011774","Irbp","UAS-tkv",0.885471089287842,0
"FBgn0011774","Irbp","bam RNAi",1.12740313801057,0.348486379456901
"FBgn0011774","Irbp","bam RNAi; HS-bam",1.43320719628481,0.694730083870175
"FBgn0011774","Irbp","Young WT",0.670319043473037,-0.401597282854226
