FBGN,Symbol,Genotype,Mean_expression,Norm_expression
FBgn0031399,mio,GSC CB 2CC,0.266999111,0
FBgn0031399,mio,4CC,0.213988752,-0.061660457
FBgn0031399,mio,8CC,0.29285362,0.029143427
FBgn0031399,mio,16CC 2a 1,0.240330797,-0.030690573
FBgn0031399,mio,16CC 2a 2,0.344840217,0.086019262
FBgn0031399,mio,16CC 2ab,0.192782074,-0.087085031
FBgn0031399,mio,16CC 2b,0.20734199,-0.069581122
FBgn0031399,mio,16CC 3,0.2062185,-0.070924245
FBgn0031399,mio,St2,0.12780155,-0.167902281
FBgn0002989,okr,GSC CB 2CC,0.189410248,0
FBgn0002989,okr,4CC,0.419000706,0.254628896
FBgn0002989,okr,8CC,0.618086263,0.444042111
FBgn0002989,okr,16CC 2a 1,0.550320435,0.382320024
FBgn0002989,okr,16CC 2a 2,0.450988613,0.286789786
FBgn0002989,okr,16CC 2ab,0.507362004,0.341779521
FBgn0002989,okr,16CC 2b,0.281467147,0.107550081
FBgn0002989,okr,16CC 3,0.270686725,0.095361981
FBgn0002989,okr,St2,0.115415897,-0.092664674
FBgn0260817,gkt,GSC CB 2CC,0.111677595,0
FBgn0260817,gkt,4CC,0.073221804,-0.050790173
FBgn0260817,gkt,8CC,0.04897823,-0.083753707
FBgn0260817,gkt,16CC 2a 1,0.043338982,-0.091530476
FBgn0260817,gkt,16CC 2a 2,0.072063229,-0.052348446
FBgn0260817,gkt,16CC 2ab,0.025493649,-0.116419886
FBgn0260817,gkt,16CC 2b,0.004430747,-0.146360346
FBgn0260817,gkt,16CC 3,0.024710252,-0.117522414
FBgn0260817,gkt,St2,0.04023068,-0.09583495
FBgn0031519,Fign,GSC CB 2CC,0.167387444,0
FBgn0031519,Fign,4CC,0.148287276,-0.02379984
FBgn0031519,Fign,8CC,0.244525155,0.092311934
FBgn0031519,Fign,16CC 2a 1,0.354232427,0.214191913
FBgn0031519,Fign,16CC 2a 2,0.618549732,0.471418238
FBgn0031519,Fign,16CC 2ab,0.454916407,0.317652808
FBgn0031519,Fign,16CC 2b,0.236343925,0.082796669
FBgn0031519,Fign,16CC 3,0.169038617,0.00203913
FBgn0031519,Fign,St2,0.084548319,-0.106189126
FBgn0261976,Psf2,GSC CB 2CC,0.747997124,0
FBgn0261976,Psf2,4CC,1.35987511,0.4330077
FBgn0261976,Psf2,8CC,0.806344796,0.04737049
FBgn0261976,Psf2,16CC 2a 1,0.600752572,-0.126952483
FBgn0261976,Psf2,16CC 2a 2,0.684976278,-0.052974531
FBgn0261976,Psf2,16CC 2ab,0.859260887,0.089026408
FBgn0261976,Psf2,16CC 2b,0.595599404,-0.131604321
FBgn0261976,Psf2,16CC 3,0.557005695,-0.16692859
FBgn0261976,Psf2,St2,0.333650672,-0.390321986
FBgn0031655,Marcal1,GSC CB 2CC,0.137861172,0
FBgn0031655,Marcal1,4CC,0.222776948,0.103836711
FBgn0031655,Marcal1,8CC,0.149421097,0.014582885
FBgn0031655,Marcal1,16CC 2a 1,0.212289998,0.091410306
FBgn0031655,Marcal1,16CC 2a 2,0.170304891,0.040559885
FBgn0031655,Marcal1,16CC 2ab,0.179512315,0.051865933
FBgn0031655,Marcal1,16CC 2b,0.148295115,0.013168917
FBgn0031655,Marcal1,16CC 3,0.205006701,0.08271662
FBgn0031655,Marcal1,St2,0.14695661,0.011486266
FBgn0051989,Cap-D3,GSC CB 2CC,0.087991906,0
FBgn0051989,Cap-D3,4CC,0.173596544,0.109268703
FBgn0051989,Cap-D3,8CC,0.167299908,0.101507448
FBgn0051989,Cap-D3,16CC 2a 1,0.25177155,0.202303468
FBgn0051989,Cap-D3,16CC 2a 2,0.12476363,0.047954025
FBgn0051989,Cap-D3,16CC 2ab,0.091360268,0.004459603
FBgn0051989,Cap-D3,16CC 2b,0.059129046,-0.038789445
FBgn0051989,Cap-D3,16CC 3,0.066368501,-0.028961754
FBgn0051989,Cap-D3,St2,0.036883132,-0.069414529
FBgn0031848,Nse1,GSC CB 2CC,0.742060387,0
FBgn0031848,Nse1,4CC,1.169042705,0.316263824
FBgn0031848,Nse1,8CC,1.654798334,0.60780764
FBgn0031848,Nse1,16CC 2a 1,1.243709299,0.365091135
FBgn0031848,Nse1,16CC 2a 2,1.057767515,0.240285363
FBgn0031848,Nse1,16CC 2ab,0.799975582,0.047182701
FBgn0031848,Nse1,16CC 2b,0.348034646,-0.369937059
FBgn0031848,Nse1,16CC 3,0.362380609,-0.354664828
FBgn0031848,Nse1,St2,0.354161402,-0.363394931
FBgn0266666,Sem1,GSC CB 2CC,4.955187784,0
FBgn0266666,Sem1,4CC,4.226057339,-0.188424048
FBgn0266666,Sem1,8CC,3.444953058,-0.421978818
FBgn0266666,Sem1,16CC 2a 1,2.231682687,-0.881861452
FBgn0266666,Sem1,16CC 2a 2,2.272527258,-0.863741792
FBgn0266666,Sem1,16CC 2ab,1.947987612,-1.014416539
FBgn0266666,Sem1,16CC 2b,1.280688582,-1.384677535
FBgn0266666,Sem1,16CC 3,1.74253246,-1.118638305
FBgn0266666,Sem1,St2,2.2991559,-0.852050048
FBgn0031909,CG5181,GSC CB 2CC,0.404491618,0
FBgn0031909,CG5181,4CC,0.517312714,0.111470437
FBgn0031909,CG5181,8CC,0.325027139,-0.084026106
FBgn0031909,CG5181,16CC 2a 1,0.258134105,-0.158762307
FBgn0031909,CG5181,16CC 2a 2,0.312416165,-0.097822745
FBgn0031909,CG5181,16CC 2ab,0.314897625,-0.095097536
FBgn0031909,CG5181,16CC 2b,0.280061687,-0.133834678
FBgn0031909,CG5181,16CC 3,0.191162925,-0.237677259
FBgn0031909,CG5181,St2,0.283839901,-0.12958271
FBgn0002887,mus201,GSC CB 2CC,0.128507419,0
FBgn0002887,mus201,4CC,0.205155931,0.094803921
FBgn0002887,mus201,8CC,0.207258809,0.097319087
FBgn0002887,mus201,16CC 2a 1,0.180483762,0.064962294
FBgn0002887,mus201,16CC 2a 2,0.195245301,0.08289083
FBgn0002887,mus201,16CC 2ab,0.191976128,0.07893944
FBgn0002887,mus201,16CC 2b,0.161867128,0.042029188
FBgn0002887,mus201,16CC 3,0.091400455,-0.048235353
FBgn0002887,mus201,St2,0.132596961,0.005218661
FBgn0027868,Nup107,GSC CB 2CC,1.053966979,0
FBgn0027868,Nup107,4CC,1.342958195,0.189918225
FBgn0027868,Nup107,8CC,1.04230474,-0.008214836
FBgn0027868,Nup107,16CC 2a 1,0.947908619,-0.076486989
FBgn0027868,Nup107,16CC 2a 2,1.010219613,-0.031059866
FBgn0027868,Nup107,16CC 2ab,0.864079443,-0.139949642
FBgn0027868,Nup107,16CC 2b,1.06033784,0.004467933
FBgn0027868,Nup107,16CC 3,1.056315363,0.00164855
FBgn0027868,Nup107,St2,1.0269971,-0.019068963
FBgn0262647,Nup160,GSC CB 2CC,0.18107536,0
FBgn0262647,Nup160,4CC,0.214701272,0.040500539
FBgn0262647,Nup160,8CC,0.056532235,-0.160764237
FBgn0262647,Nup160,16CC 2a 1,0.140712966,-0.050165204
FBgn0262647,Nup160,16CC 2a 2,0.173173524,-0.009684603
FBgn0262647,Nup160,16CC 2ab,0.140632937,-0.050266423
FBgn0262647,Nup160,16CC 2b,0.157228426,-0.029427354
FBgn0262647,Nup160,16CC 3,0.177285772,-0.004636461
FBgn0262647,Nup160,St2,0.190491662,0.011456495
FBgn0020270,mre11,GSC CB 2CC,1.251729684,0
FBgn0020270,mre11,4CC,1.361226181,0.068502599
FBgn0020270,mre11,8CC,1.379483459,0.07961478
FBgn0020270,mre11,16CC 2a 1,1.035769427,-0.145459476
FBgn0020270,mre11,16CC 2a 2,1.022632013,-0.154799778
FBgn0020270,mre11,16CC 2ab,0.938872132,-0.215815984
FBgn0020270,mre11,16CC 2b,0.523718596,-0.563437158
FBgn0020270,mre11,16CC 3,0.610228177,-0.483768505
FBgn0020270,mre11,St2,0.417296152,-0.667892396
FBgn0283467,Pol32,GSC CB 2CC,0.363447928,0
FBgn0283467,Pol32,4CC,0.219979811,-0.160402329
FBgn0283467,Pol32,8CC,0.101782279,-0.307420439
FBgn0283467,Pol32,16CC 2a 1,0.107603971,-0.299817472
FBgn0283467,Pol32,16CC 2a 2,0.074415694,-0.343707319
FBgn0283467,Pol32,16CC 2ab,0.185631253,-0.201604221
FBgn0283467,Pol32,16CC 2b,0.135152871,-0.264373005
FBgn0283467,Pol32,16CC 3,0.10198626,-0.307153368
FBgn0283467,Pol32,St2,0.181215916,-0.206986902
FBgn0041627,Ku80,GSC CB 2CC,0.208127996,0
FBgn0041627,Ku80,4CC,0.205061327,-0.003666742
FBgn0041627,Ku80,8CC,0.267687817,0.069426198
FBgn0041627,Ku80,16CC 2a 1,0.258221945,0.058613119
FBgn0041627,Ku80,16CC 2a 2,0.276056564,0.078918971
FBgn0041627,Ku80,16CC 2ab,0.348971608,0.159086673
FBgn0041627,Ku80,16CC 2b,0.071250615,-0.173477277
FBgn0041627,Ku80,16CC 3,0.068001207,-0.177860033
FBgn0041627,Ku80,St2,0.043383854,-0.211503297
FBgn0040268,Top3alpha,GSC CB 2CC,0.367311515,0
FBgn0040268,Top3alpha,4CC,0.482754189,0.116937478
FBgn0040268,Top3alpha,8CC,0.543483659,0.17484824
FBgn0040268,Top3alpha,16CC 2a 1,0.476042638,0.110392427
FBgn0040268,Top3alpha,16CC 2a 2,0.489319361,0.12331118
FBgn0040268,Top3alpha,16CC 2ab,0.25667175,-0.121734111
FBgn0040268,Top3alpha,16CC 2b,0.270912414,-0.105477361
FBgn0040268,Top3alpha,16CC 3,0.277558865,-0.097952203
FBgn0040268,Top3alpha,St2,0.212143628,-0.173781314
FBgn0032906,RPA2,GSC CB 2CC,4.316285661,0
FBgn0032906,RPA2,4CC,5.157521533,0.211931141
FBgn0032906,RPA2,8CC,6.30205324,0.45788356
FBgn0032906,RPA2,16CC 2a 1,5.092393063,0.196590396
FBgn0032906,RPA2,16CC 2a 2,3.252147937,-0.322226837
