"FBGN","Symbol","Genotype","Mean_expression","Norm_expression"
"FBgn0002989","okr","GSC/CB/2CC",0.189410248200955,0
"FBgn0002989","okr","4CC",0.419000705965087,0.254628895717241
"FBgn0002989","okr","8CC",0.618086263281588,0.444042111222711
"FBgn0002989","okr","16CC
2a 1",0.55032043461059,0.382320024481148
"FBgn0002989","okr","16CC
2a 2",0.450988613087353,0.286789786187217
"FBgn0002989","okr","16CC
2ab",0.507362003911877,0.341779520783803
"FBgn0002989","okr","16CC
2b",0.281467146986736,0.107550081251155
"FBgn0002989","okr","16CC
3",0.270686724995471,0.0953619808248345
"FBgn0002989","okr","St2",0.115415896724603,-0.0926646741435758
"FBgn0000351","cort","GSC/CB/2CC",0.106439856611264,0
"FBgn0000351","cort","4CC",0.0451578007520344,-0.0822042511133059
"FBgn0000351","cort","8CC",0.0527843754800881,-0.0717150487585972
"FBgn0000351","cort","16CC
2a 1",0.00341615458509436,-0.141004961669426
"FBgn0000351","cort","16CC
2a 2",0.06235377223261,-0.0586607568196952
"FBgn0000351","cort","16CC
2ab",0.0951806094042934,-0.0147562234031014
"FBgn0000351","cort","16CC
2b",0.112467990833556,0.00783879398504538
"FBgn0000351","cort","16CC
3",0.100803150655602,-0.0073685275072261
"FBgn0000351","cort","St2",0.250078206241486,0.176093322404527
"FBgn0020616","SA","GSC/CB/2CC",0.405636788852272,0
"FBgn0020616","SA","4CC",0.802984569746191,0.359163194281614
"FBgn0020616","SA","8CC",0.763071671715731,0.326867268029808
"FBgn0020616","SA","16CC
2a 1",0.662498893355734,0.242129524574792
"FBgn0020616","SA","16CC
2a 2",0.531563920855192,0.123781724338059
"FBgn0020616","SA","16CC
2ab",0.456119317377356,0.0509047220374353
"FBgn0020616","SA","16CC
2b",0.245709502849074,-0.174256181937965
"FBgn0020616","SA","16CC
3",0.207297719500749,-0.219442367283976
"FBgn0020616","SA","St2",0.122237152206091,-0.324846275876375
"FBgn0010314","Cks30A","GSC/CB/2CC",1.17720138650759,0
"FBgn0010314","Cks30A","4CC",1.34515322649476,0.107207328007931
"FBgn0010314","Cks30A","8CC",0.358471947290505,-0.68049008599295
"FBgn0010314","Cks30A","16CC
2a 1",0.306617286354539,-0.736638228306533
"FBgn0010314","Cks30A","16CC
2a 2",0.69364899363975,-0.362339950786795
"FBgn0010314","Cks30A","16CC
2ab",0.848044548396973,-0.236475325588912
"FBgn0010314","Cks30A","16CC
2b",0.577282255183773,-0.46503400593961
"FBgn0010314","Cks30A","16CC
3",0.500158915644982,-0.537359522760484
"FBgn0010314","Cks30A","St2",0.357009289619032,-0.682044262942909
"FBgn0011207","pelo","GSC/CB/2CC",0.590876955677028,0
"FBgn0011207","pelo","4CC",0.884733459117185,0.244538253950304
"FBgn0011207","pelo","8CC",0.669041219764548,0.0691973283078891
"FBgn0011207","pelo","16CC
2a 1",0.654124762386285,0.0562457973096253
"FBgn0011207","pelo","16CC
2a 2",0.949566139067509,0.293330842422178
"FBgn0011207","pelo","16CC
2ab",0.506243322127029,-0.0788674113769585
"FBgn0011207","pelo","16CC
2b",0.502615851757239,-0.0823460295152743
"FBgn0011207","pelo","16CC
3",0.404999958636156,-0.179252168627076
"FBgn0011207","pelo","St2",0.755806545295804,0.14231164094033
"FBgn0028525","c(2)M","GSC/CB/2CC",0.187567806531903,0
"FBgn0028525","c(2)M","4CC",0.187277370229628,-0.000352874384549806
"FBgn0028525","c(2)M","8CC",0.220096646016955,0.0389855414235995
"FBgn0028525","c(2)M","16CC
2a 1",0.785287384201704,0.588146439493725
