"FBGN","Symbol","Genotype","Mean_expression","Norm_expression"
"FBgn0010602","lwr","GSC/CB/2CC",6.7471126964172,6.7471126964172
"FBgn0010602","lwr","4CC",2.88712492217097,2.88712492217097
"FBgn0010602","lwr","8CC",1.35360917785969,1.35360917785969
"FBgn0010602","lwr","16CC
2a 1",0.984148849645195,0.984148849645195
"FBgn0010602","lwr","16CC
2a 2",1.06360645250355,1.06360645250355
"FBgn0010602","lwr","16CC
2ab",1.73703135617554,1.73703135617554
"FBgn0010602","lwr","16CC
2b",2.34987020039726,2.34987020039726
"FBgn0010602","lwr","16CC
3",3.40368861992421,3.40368861992421
"FBgn0010602","lwr","St2",3.17565851439102,3.17565851439102
"FBgn0031399","mio","GSC/CB/2CC",0.26699911119737,0.26699911119737
"FBgn0031399","mio","4CC",0.21398875240578,0.21398875240578
"FBgn0031399","mio","8CC",0.292853620350897,0.292853620350897
"FBgn0031399","mio","16CC
2a 1",0.240330796553431,0.240330796553431
"FBgn0031399","mio","16CC
2a 2",0.344840217283244,0.344840217283244
"FBgn0031399","mio","16CC
2ab",0.192782074096679,0.192782074096679
"FBgn0031399","mio","16CC
2b",0.207341990217585,0.207341990217585
"FBgn0031399","mio","16CC
3",0.206218500412094,0.206218500412094
"FBgn0031399","mio","St2",0.127801550367019,0.127801550367019
"FBgn0267378","sau","GSC/CB/2CC",0.740100318561686,0.740100318561686
"FBgn0267378","sau","4CC",0.525474879499928,0.525474879499928
"FBgn0267378","sau","8CC",0.622938298356,0.622938298356
"FBgn0267378","sau","16CC
2a 1",0.575110312125699,0.575110312125699
"FBgn0267378","sau","16CC
2a 2",0.79985435032795,0.79985435032795
"FBgn0267378","sau","16CC
2ab",0.72139505988299,0.72139505988299
"FBgn0267378","sau","16CC
2b",0.482193915803554,0.482193915803554
"FBgn0267378","sau","16CC
3",0.278871565195134,0.278871565195134
"FBgn0267378","sau","St2",0.383510180335182,0.383510180335182
"FBgn0014010","Rab5","GSC/CB/2CC",1.12754734486797,1.12754734486797
"FBgn0014010","Rab5","4CC",1.33322274758125,1.33322274758125
"FBgn0014010","Rab5","8CC",2.69449887091382,2.69449887091382
"FBgn0014010","Rab5","16CC
2a 1",3.1018395634283,3.1018395634283
"FBgn0014010","Rab5","16CC
2a 2",3.00316600142199,3.00316600142199
"FBgn0014010","Rab5","16CC
2ab",3.39386920635115,3.39386920635115
"FBgn0014010","Rab5","16CC
2b",2.1222802858937,2.1222802858937
"FBgn0014010","Rab5","16CC
3",1.79812953333668,1.79812953333668
"FBgn0014010","Rab5","St2",1.73075214362343,1.73075214362343
"FBgn0011818","oaf","GSC/CB/2CC",0.447485814474143,0.447485814474143
"FBgn0011818","oaf","4CC",0.521904714213194,0.521904714213194
"FBgn0011818","oaf","8CC",0.389285589565364,0.389285589565364
"FBgn0011818","oaf","16CC
2a 1",0.609700568383118,0.609700568383118
