"FBGN","Symbol","Genotype","Mean_expression","Norm_expression"
"FBgn0002707","mei-9","UAS-tkv",15.4785843061514,0
"FBgn0002707","mei-9","bam RNAi",14.2064424938755,-0.115909626348518
"FBgn0002707","mei-9","bam RNAi; HS-bam",15.9518690538416,0.0408520443655652
"FBgn0002707","mei-9","Young WT",19.5754398287691,0.320330966319093
"FBgn0002709","mei-218","UAS-tkv",0.595604583705436,0
"FBgn0002709","mei-218","bam RNAi",3.08958016165691,1.35784956999036
"FBgn0002709","mei-218","bam RNAi; HS-bam",4.24268143979589,1.71620171328741
"FBgn0002709","mei-218","Young WT",0.861804145389419,0.222598141943736
"FBgn0002716","mei-W68","UAS-tkv",2.32554539942515,0
"FBgn0002716","mei-W68","bam RNAi",1.60415649599496,-0.3527748169044
"FBgn0002716","mei-W68","bam RNAi; HS-bam",2.48749597826958,0.0686005869134046
"FBgn0002716","mei-W68","Young WT",1.0509686192847,-0.697285548211474
"FBgn0002872","mu2","UAS-tkv",19.5555376709942,0
"FBgn0002872","mu2","bam RNAi",17.2177693489842,-0.174180787914675
"FBgn0002872","mu2","bam RNAi; HS-bam",39.5684145083135,0.980829811392998
"FBgn0002872","mu2","Young WT",36.5192895781077,0.868105401951265
"FBgn0002887","mus201","UAS-tkv",12.6168297534276,0
"FBgn0002887","mus201","bam RNAi",12.8259020077553,0.0219827488724584
"FBgn0002887","mus201","bam RNAi; HS-bam",18.506273031085,0.5185472988387
"FBgn0002887","mus201","Young WT",17.5959756885797,0.449599588166673
"FBgn0002891","DNApol-zeta","UAS-tkv",5.99522382517106,0
"FBgn0002891","DNApol-zeta","bam RNAi",5.98823540670727,-0.00144201192760324
"FBgn0002891","DNApol-zeta","bam RNAi; HS-bam",8.98049273088154,0.512740822466804
"FBgn0002891","DNApol-zeta","Young WT",8.86050781479855,0.495291727278578
"FBgn0002899","mus301","UAS-tkv",17.7546334386404,0
"FBgn0002899","mus301","bam RNAi",14.1038877398983,-0.31232711866496
"FBgn0002899","mus301","bam RNAi; HS-bam",14.029794696723,-0.319421763111192
"FBgn0002899","mus301","Young WT",19.629138566018,0.137436512611139
"FBgn0002905","DNApol-theta","UAS-tkv",9.91287678901092,0
"FBgn0002905","DNApol-theta","bam RNAi",9.34894194431513,-0.0765481897307878
"FBgn0002905","DNApol-theta","bam RNAi; HS-bam",14.5402946137941,0.509982388038571
"FBgn0002905","DNApol-theta","Young WT",11.1281996946815,0.152333946590405
"FBgn0002906","Blm","UAS-tkv",14.080144357587,0
"FBgn0002906","Blm","bam RNAi",11.3405831630667,-0.289239667466642
"FBgn0002906","Blm","bam RNAi; HS-bam",20.6650973557301,0.522722480466362
"FBgn0002906","Blm","Young WT",20.5911620863677,0.517790655490892
