BamHSbam_input_1	BamHSbam_input_2	BamHSbam_input_3	BamHSbam_input_4	BamHSbam_polysome_1	BamHSbam_polysome_2	BamHSbam_polysome_3	BamHSbam_polysome_4	BamRNAi_input_1	BamRNAi_input_2	BamRNAi_input_3	BamRNAi_polysome_1	BamRNAi_polysome_2	BamRNAi_polysome_3	TKV_input_1	TKV_input_2	TKV_polysome_1	TKV_polysome_2	youngWT_input_1	youngWT_input_2	youngWT_polysome_1	youngWT_polysome_2
0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1753	1723	1666	6498	2374	582	7807	3688	4699	2114	5086	320	2583	3168	1928	1141	1428	293	3452	4684	865	1638
0	0	0	1	0	0	0	1	2	6	0	0	0	1	1	1	0	0	5	2	0	0
74	0	40	21	0	0	30	17	40	35	76	4	78	15	16	16	25	1	0	3	0	0
302	156	174	77	183	0	40	31	23	18	48	0	9	37	4	8	0	6	43	60	0	0
0	0	6	3	13	0	0	0	4	0	5	0	0	2	1	7	0	0	0	2	0	0
0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0
0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0
1370	1337	1688	2186	1789	107	2234	1060	2016	905	3447	203	1111	1561	784	474	422	149	945	1394	321	442
0	36	7	19	0	0	3	30	6	7	13	0	18	24	3	1	0	2	3	18	0	0
1127	757	1290	1782	2477	256	2474	1438	1508	1350	2593	336	2547	1907	567	464	699	468	804	2327	319	1286
0	0	16	12	0	0	0	7	5	1	11	0	11	1	5	2	44	0	0	0	0	0
73	55	60	19	280	0	0	22	29	16	29	0	27	8	26	6	4	0	0	6	2	0
1349	1570	1689	1995	1520	375	2451	984	2114	769	2763	139	764	1279	847	522	255	190	1029	1242	287	593
696	422	495	1103	715	268	1029	648	443	215	854	71	315	1164	313	159	249	134	720	1766	170	723
300	343	302	764	807	150	1047	574	614	443	712	81	890	630	300	192	392	105	397	791	195	357
8986	10977	13361	12837	14276	2886	28645	8201	15352	9347	26668	1764	8203	18334	10943	5461	10144	3095	16535	21239	6247	12135
976	716	653	1228	2287	194	2987	2405	1301	1672	2477	1912	3207	2533	952	616	2523	1721	1237	2771	1598	6156
0	0	0	0	0	0	0	1	1	0	1	0	0	0	4	0	0	0	0	0	0	0
206	209	186	120	413	1	533	132	697	571	648	116	1623	341	177	153	258	233	49	129	0	74
1980	1487	1618	1873	4748	304	4227	1167	6386	4788	5951	584	6720	2936	1850	1682	2053	1286	1988	3321	756	2531
1	0	6	11	0	0	5	9	9	17	22	0	6	12	10	6	6	10	2	8	0	7
127	207	188	2605	403	7	4101	1677	389	414	407	63	415	4189	662	283	482	197	2625	7499	689	2840
0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	58	97	97	495	1	270	66	156	111	234	62	184	96	41	46	94	40	49	74	83	88
198	117	69	235	376	1	667	409	216	292	376	257	488	426	149	100	396	156	291	628	313	777
162	95	196	116	424	59	128	133	77	33	109	8	26	74	24	22	107	10	126	89	26	16
334	137	202	483	452	2	907	345	166	125	416	16	146	536	127	62	177	66	552	909	149	510
642	374	511	1448	1159	116	3091	1166	1247	883	2523	564	2378	2258	755	490	1402	1071	1078	2591	878	2696
251	5	108	155	352	25	227	208	188	207	257	90	343	337	86	62	242	78	108	307	9	443
3243	6193	9560	4104	2474	583	6115	5386	3029	929	3891	165	508	1871	1084	642	163	60	2259	2894	394	389
378	188	183	605	468	242	741	703	516	594	702	270	757	1185	531	252	520	435	714	1263	600	1742
47	17	52	28	204	0	1	21	68	83	123	8	82	71	23	20	25	30	0	10	0	0
460	466	360	1443	1016	130	1346	1134	646	336	1370	163	537	1122	404	197	306	92	735	1427	180	580
4053	5351	7889	6811	2550	1038	7859	8118	4864	1452	8372	219	919	4922	1820	1098	340	129	5440	7545	823	1017
0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	17	0	0	0	2	6	1	0	0	6	3	2	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	27	8	4	36	0	0	7	6	5	26	2	9	2	0	4	0	0	0	5	0	0
253	76	112	374	550	2	987	401	470	386	1048	327	720	941	286	172	889	358	539	1116	518	1537
392	350	292	541	786	117	624	722	622	591	1019	403	1277	1034	423	255	871	346	683	1042	402	1553
22	32	31	40	80	0	0	35	84	28	124	0	47	54	34	24	9	0	21	31	7	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	4	0	0	0	3	5	2	25	4	15	6	0	1	0	0	0	3	0	0
693	659	511	2284	1156	142	2575	1666	785	490	1594	131	819	2278	657	397	598	370	1918	3440	889	1766
277	285	204	806	475	2	1173	591	499	525	1187	114	762	1455	408	221	568	237	890	1741	826	2217
775	746	949	2158	2193	254	2597	1653	1376	796	2448	470	1666	1903	901	454	996	419	849	1795	402	1011
238	489	363	1337	829	64	1389	936	709	386	1138	42	522	835	374	131	392	92	517	1138	90	411
326	314	169	338	665	144	698	575	476	550	554	324	790	539	264	137	666	208	311	569	174	974
526	568	448	351	1265	89	179	515	982	1239	959	1238	2217	575	432	372	982	603	158	194	117	466
0	0	0	1	0	0	0	2	0	8	2	0	0	0	0	0	0	0	0	0	0	0
0	0	1	4	23	0	0	3	5	0	13	0	2	0	2	0	0	0	0	2	0	0
0	0	19	2	0	0	0	0	5	10	3	0	10	0	0	22	0	37	0	2	0	0
380	128	89	538	330	3	624	391	489	592	698	228	406	618	363	176	590	163	546	859	255	792
605	741	640	1710	1711	62	2581	1732	960	692	1323	245	965	1540	676	410	909	325	891	1956	432	1359
14665	15218	19518	22225	26319	4727	19108	17279	6734	4077	14057	1047	8200	9095	4000	2204	4987	1620	7797	10768	3315	4985
1024	1694	1294	2584	1651	358	3046	1470	1473	978	2263	74	773	2434	799	342	299	104	1282	3702	211	694
1422	1750	2136	2040	2634	444	1963	1687	1798	1172	1782	226	1638	1189	595	566	710	186	645	1395	208	559
