Geneid	Length
FBgn0031208	1880
FBgn0002121	5986
FBgn0031209	2629
FBgn0263584	2230
FBgn0051973	10793
FBgn0267987	951
FBgn0266878	244
FBgn0266879	207
FBgn0067779	4499
FBgn0266322	2798
FBgn0031213	2751
FBgn0031214	1378
FBgn0002931	2225
FBgn0031216	6476
FBgn0031217	1583
FBgn0026787	2551
FBgn0005278	3559
FBgn0031228	1135
FBgn0031219	1124
FBgn0031220	4224
FBgn0025683	3148
FBgn0266304	1062
FBgn0001142	2396
FBgn0265074	727
FBgn0265075	502
FBgn0051975	2206
FBgn0051976	2206
FBgn0051974	1908
FBgn0031224	905
FBgn0259818	5305
FBgn0031227	1699
FBgn0031229	1381
FBgn0053635	769
FBgn0016977	23035
FBgn0031231	903
FBgn0031232	1357
FBgn0031233	3348
FBgn0266557	19229
FBgn0265151	400
FBgn0265153	1190
FBgn0265152	552
FBgn0263465	88
FBgn0031235	1660
FBgn0262252	107
FBgn0265149	904
FBgn0283652	1105
FBgn0031238	1942
FBgn0031239	7557
FBgn0265150	754
FBgn0031240	2417
FBgn0086912	1756
FBgn0086856	931
FBgn0086855	3132
FBgn0003444	4008
FBgn0031244	1452
FBgn0031245	1974
FBgn0267995	449
FBgn0267996	1820
FBgn0025686	1893
FBgn0031247	748
FBgn0017457	1655
FBgn0024352	2023
FBgn0020622	4938
FBgn0004611	7774
FBgn0263872	812
FBgn0031248	898
FBgn0031249	970
FBgn0053127	991
FBgn0264086	2873
FBgn0051921	2426
FBgn0031250	1972
FBgn0266907	1229
FBgn0266906	846
FBgn0000061	1806
FBgn0263871	452
FBgn0031251	4436
FBgn0003278	3564
FBgn0264855	4872
FBgn0263933	3327
FBgn0031252	1219
FBgn0002593	768
FBgn0031253	556
FBgn0031254	665
FBgn0031255	2259
FBgn0004583	6672
FBgn0263870	566
FBgn0015924	2848
FBgn0031256	1488
FBgn0262510	501
FBgn0031257	2642
FBgn0031258	6869
FBgn0027592	2592
FBgn0003963	6706
FBgn0043364	3243
FBgn0267991	1815
FBgn0267992	1364
FBgn0010602	1864
FBgn0031260	1736
FBgn0005660	5407
FBgn0031261	1532
FBgn0260933	5772
FBgn0031263	853
FBgn0031264	3252
FBgn0031265	2310
FBgn0021874	1584
FBgn0031266	4346
FBgn0031267	1232
FBgn0031268	1158
FBgn0013323	1128
FBgn0023489	1880
FBgn0010323	2584
FBgn0267827	670
FBgn0031270	1551
FBgn0263657	499
FBgn0263658	795
FBgn0040106	904
FBgn0266032	559
FBgn0266033	424
FBgn0040107	940
FBgn0031273	2549
FBgn0266909	324
FBgn0284247	12427
FBgn0266323	549
FBgn0267993	2784
FBgn0011244	2203
FBgn0026438	3996
FBgn0031275	7035
FBgn0265825	580
FBgn0031276	471
FBgn0040725	406
FBgn0031277	483
FBgn0041250	2220
FBgn0031279	4359
